"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","50058","Orders tabs Visibility to User","chromium","2026-01-30","passed","2026-01-30","Test Suite with","","",""
"","4","Test 1 - Verify user is on Kitspage","chromium","2026-01-30","skipped","2026-01-30","Test Suite with","","",""
"","23681","New Orders Page","chromium","2026-01-30","passed","2026-01-30","Test Suite with","","",""
